,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio
0,65.38732394366197,78.35820895522389,63.49642660802639,70.14880048587915,63.39381003201707,77.53479125248509,62.903225806451616,69.45681211041853,63.20346320346321,70.88122605363985,66.30824372759857,68.51851851851852,40.66901408450704,24.718309859154928,11.232394366197184,23.380281690140844,41.6221985058698,21.77161152614728,12.059765208110992,24.546424759871933,40.04329004329004,23.160173160173162,16.450216450216452,20.346320346320347
1,67.67605633802816,77.65500306936771,69.54370533260033,73.37587006960557,63.71398078975453,76.51515151515152,65.16129032258064,70.38327526132404,63.85281385281385,71.21212121212122,67.38351254480287,69.2449355432781,44.54225352112676,23.133802816901408,12.816901408450704,19.507042253521124,43.11632870864461,20.597652081109924,13.233724653148347,23.05229455709712,40.692640692640694,23.160173160173162,16.450216450216452,19.696969696969695
2,70.35211267605634,75.91511936339522,78.66959868059374,77.26781857451405,65.95517609391676,74.63175122749591,73.54838709677419,74.08610885458977,65.5844155844156,69.86754966887418,75.62724014336918,72.63339070567986,50.387323943661976,19.964788732394368,15.985915492957748,13.661971830985916,48.66595517609392,17.28922091782284,16.542155816435432,17.502668089647813,45.67099567099567,19.913419913419915,19.696969696969695,14.71861471861472
3,69.43661971830986,71.88219052001841,85.87135788894997,78.2565130260521,66.48879402347919,71.42857142857143,82.25806451612904,76.46176911544228,62.98701298701299,64.67391304347827,85.30465949820788,73.57032457496136,55.00000000000001,14.43661971830986,21.514084507042252,9.049295774647888,54.4290288153682,12.059765208110992,21.77161152614728,11.739594450373533,51.515151515151516,11.471861471861471,28.13852813852814,8.874458874458876
4,66.61971830985915,81.44404332129965,62.012094557449146,70.41198501872658,61.15261472785486,78.57142857142857,56.774193548387096,65.91760299625467,62.77056277056276,73.77777777777777,59.49820788530465,65.87301587301587,39.718309859154935,26.901408450704224,9.049295774647888,24.33098591549296,37.5667022411953,23.585912486659552,10.245464247598719,28.601921024546424,35.93073593073593,26.83982683982684,12.770562770562771,24.458874458874458
5,70.84507042253522,79.2330383480826,73.83177570093457,76.43710870802505,65.5282817502668,76.56529516994634,69.03225806451613,72.6039016115352,64.5021645021645,71.06227106227107,69.53405017921148,70.28985507246377,47.28873239436619,23.556338028169012,12.394366197183098,16.76056338028169,45.67769477054429,19.850586979722518,13.980789754535753,20.490928495197437,41.99134199134199,22.51082251082251,17.0995670995671,18.398268398268396
6,74.71830985915493,82.47787610619469,76.85541506322156,79.56744450768353,64.99466382070437,76.3537906137184,68.2258064516129,72.06132879045995,67.09956709956711,72.92418772563177,72.40143369175627,72.66187050359711,49.225352112676056,25.492957746478872,10.45774647887324,14.82394366197183,45.14407684098185,19.850586979722518,13.980789754535753,21.024546424759873,43.722943722943725,23.376623376623375,16.233766233766232,16.666666666666664
7,73.27464788732394,84.4155844155844,71.4678394722375,77.40398928252455,63.82070437566703,79.70401691331924,60.806451612903224,68.98444647758463,64.28571428571429,73.55371900826447,63.799283154121866,68.33013435700576,45.774647887323944,27.500000000000004,8.450704225352112,18.274647887323944,40.23479188900747,23.585912486659552,10.245464247598719,25.933831376734258,38.52813852813853,25.757575757575758,13.852813852813853,21.861471861471863
8,72.25352112676056,84.29807052561543,69.65365585486532,76.27934978928357,62.4332977588047,78.51063829787233,59.51612903225807,67.70642201834863,66.23376623376623,76.62337662337663,63.44086021505376,69.41176470588235,44.61267605633803,27.640845070422536,8.309859154929578,19.43661971830986,39.38100320170758,23.05229455709712,10.779082177161152,26.78762006403415,38.311688311688314,27.92207792207792,11.688311688311687,22.07792207792208
9,68.09859154929578,85.52529182879377,60.41781198460693,70.8118556701031,58.59124866595518,79.74358974358975,50.16129032258064,61.58415841584157,59.74025974025974,74.60317460317461,50.53763440860215,60.25641025641026,38.697183098591545,29.401408450704224,6.549295774647887,25.352112676056336,33.19103521878335,25.400213447171826,8.431163287086447,32.97758804695838,30.519480519480517,29.22077922077922,10.38961038961039,29.87012987012987
10,75.0,84.37693738375698,74.82133040131941,79.31235431235432,62.96691568836713,76.92307692307693,62.903225806451616,69.21029281277728,62.77056277056276,70.65637065637065,65.59139784946237,68.02973977695167,47.92253521126761,27.077464788732392,8.87323943661972,16.126760563380284,41.6221985058698,21.344717182497334,12.48665955176094,24.546424759871933,39.61038961038961,23.160173160173162,16.450216450216452,20.77922077922078
11,76.30281690140845,84.27033492822966,77.46014293567895,80.72185620166141,63.92742796157951,76.30597014925374,65.96774193548387,70.7612456747405,66.45021645021644,72.79411764705883,70.96774193548387,71.86932849364793,49.61267605633803,26.69014084507042,9.26056338028169,14.43661971830986,43.64994663820704,20.277481323372466,13.553895410885804,22.518676627534685,42.857142857142854,23.593073593073594,16.017316017316016,17.532467532467532
12,79.29577464788733,85.27220630372493,81.80318856514567,83.5016835016835,66.16862326574173,76.16580310880829,71.12903225806451,73.56130108423685,67.53246753246754,72.95373665480427,73.47670250896059,73.21428571428572,52.394366197183096,26.901408450704224,9.049295774647888,11.654929577464788,47.065101387406614,19.103521878335112,14.727854855923159,19.103521878335112,44.37229437229438,23.160173160173162,16.450216450216452,16.017316017316016
13,77.0774647887324,85.05402160864347,77.89994502473887,81.31994261119083,63.71398078975453,75.64102564102564,66.61290322580645,70.84048027444254,65.80086580086581,71.68458781362007,71.68458781362007,71.68458781362007,49.894366197183096,27.1830985915493,8.767605633802816,14.15492957746479,44.07684098185699,19.637139807897544,14.194236926360727,22.09178228388474,43.290043290043286,22.51082251082251,17.0995670995671,17.0995670995671
14,76.02112676056339,76.61365762394762,90.04947773501925,82.78999241849887,66.48879402347919,71.13259668508287,83.06451612903226,76.63690476190477,66.45021645021644,67.12707182320442,87.09677419354838,75.81903276131045,57.67605633802817,18.345070422535212,17.6056338028169,6.373239436619718,54.96264674493063,11.52614727854856,22.305229455709714,11.205976520811099,52.5974025974026,13.852813852813853,25.757575757575758,7.792207792207792
15,76.90140845070422,83.1717056474615,80.15393073117097,81.63493840985441,65.95517609391676,74.87603305785125,73.06451612903226,73.95918367346938,66.66666666666666,71.33105802047781,74.91039426523297,73.07692307692307,51.33802816901408,25.56338028169014,10.387323943661972,12.711267605633802,48.34578441835646,17.6093916755603,16.22198505869797,17.822838847385274,45.23809523809524,21.428571428571427,18.181818181818183,15.151515151515152
16,79.50704225352113,82.91644491750931,85.65145684442001,84.26176311519741,67.02241195304163,73.81316998468607,77.74193548387098,75.72663000785546,66.23376623376623,69.6485623003195,78.13620071684588,73.64864864864866,54.85915492957747,24.647887323943664,11.30281690140845,9.190140845070422,51.440768409818574,15.581643543223054,18.24973319103522,14.727854855923159,47.18614718614719,19.047619047619047,20.562770562770563,13.203463203463203
17,79.01408450704224,85.00286204922725,81.63826278174821,83.28659562535053,65.31483457844183,75.12776831345826,71.12903225806451,73.07373653686827,66.01731601731602,71.63120567375887,72.40143369175627,72.01426024955437,52.2887323943662,26.725352112676052,9.225352112676056,11.76056338028169,47.065101387406614,18.24973319103522,15.581643543223054,19.103521878335112,43.722943722943725,22.294372294372295,17.316017316017316,16.666666666666664
